"var_yr","var_scope","var_grade","var_key","var_schoolType","var_ethnic","population","var_type","metrics_new"
2021,"college","col","t3_stanford_total_enrol","allSchools","black","535","count","college___2021___col___t3_stanford_total_enrol___allSchools___black"
2021,"college","col","t3_stanford_total_enrol","allSchools","hispanic","1376","count","college___2021___col___t3_stanford_total_enrol___allSchools___hispanic"
2021,"college","col","t3_stanford_total_enrol","allSchools","white","1911","count","college___2021___col___t3_stanford_total_enrol___allSchools___white"
2021,"college","col","t3_stanford_total_enrol","allSchools","asian","2141","count","college___2021___col___t3_stanford_total_enrol___allSchools___asian"
2021,"city_chi","k8_4th","math_belowBasic","cps","all","6169","count","city_chi___2021___k8_4th___math_belowBasic___cps___all"
2021,"city_chi","k8_4th","math_belowBasic","cps","black_hispanic","5929","count","city_chi___2021___k8_4th___math_belowBasic___cps___black_hispanic"
2021,"city_chi","k8_4th","math_belowBasic","cps","white_asian","240","count","city_chi___2021___k8_4th___math_belowBasic___cps___white_asian"
2021,"city_chi","k8_4th","math_belowBasic","cps","black","3227","count","city_chi___2021___k8_4th___math_belowBasic___cps___black"
2021,"city_chi","k8_4th","math_belowBasic","cps","hispanic","2702","count","city_chi___2021___k8_4th___math_belowBasic___cps___hispanic"
2021,"city_chi","k8_4th","math_belowBasic","cps","white","175","count","city_chi___2021___k8_4th___math_belowBasic___cps___white"
2021,"city_chi","k8_4th","math_belowBasic","cps","asian","65","count","city_chi___2021___k8_4th___math_belowBasic___cps___asian"
2021,"state_il","hs","apcs_enrol","allSchools","all","7667","count","state_il___2021___hs___apcs_enrol___allSchools___all"
2021,"state_il","hs","apcs_enrol","allSchools","black_hispanic","1832","count","state_il___2021___hs___apcs_enrol___allSchools___black_hispanic"
2021,"state_il","hs","apcs_enrol","allSchools","white_asian","5835","count","state_il___2021___hs___apcs_enrol___allSchools___white_asian"
2021,"state_il","hs","apcs_enrol","allSchools","black","369","count","state_il___2021___hs___apcs_enrol___allSchools___black"
2021,"state_il","hs","apcs_enrol","allSchools","hispanic","1463","count","state_il___2021___hs___apcs_enrol___allSchools___hispanic"
2021,"state_il","hs","apcs_enrol","allSchools","white","3674","count","state_il___2021___hs___apcs_enrol___allSchools___white"
2021,"state_il","hs","apcs_enrol","allSchools","asian","2161","count","state_il___2021___hs___apcs_enrol___allSchools___asian"
2021,"state_il","col","cs3year_confer","allSchools","all","8490","count","state_il___2021___col___cs3year_confer___allSchools___all"
2021,"state_il","col","cs3year_confer","allSchools","black_hispanic","1766","count","state_il___2021___col___cs3year_confer___allSchools___black_hispanic"
2021,"state_il","col","cs3year_confer","allSchools","white_asian","6724","count","state_il___2021___col___cs3year_confer___allSchools___white_asian"
2021,"state_il","col","cs3year_confer","allSchools","black","539","count","state_il___2021___col___cs3year_confer___allSchools___black"
2021,"state_il","col","cs3year_confer","allSchools","hispanic","1227","count","state_il___2021___col___cs3year_confer___allSchools___hispanic"
2021,"state_il","col","cs3year_confer","allSchools","white","4478","count","state_il___2021___col___cs3year_confer___allSchools___white"
2021,"state_il","col","cs3year_confer","allSchools","asian","2246","count","state_il___2021___col___cs3year_confer___allSchools___asian"
2021,"city_chi","k8_8th","math_basic","cps","all","9007","count","city_chi___2021___k8_8th___math_basic___cps___all"
2021,"city_chi","k8_8th","math_basic","cps","black_hispanic","8063","count","city_chi___2021___k8_8th___math_basic___cps___black_hispanic"
2021,"city_chi","k8_8th","math_basic","cps","white_asian","944","count","city_chi___2021___k8_8th___math_basic___cps___white_asian"
2021,"city_chi","k8_8th","math_basic","cps","black","3563","count","city_chi___2021___k8_8th___math_basic___cps___black"
2021,"city_chi","k8_8th","math_basic","cps","hispanic","4500","count","city_chi___2021___k8_8th___math_basic___cps___hispanic"
2021,"city_chi","k8_8th","math_basic","cps","white","770","count","city_chi___2021___k8_8th___math_basic___cps___white"
2021,"city_chi","k8_8th","math_basic","cps","asian","174","count","city_chi___2021___k8_8th___math_basic___cps___asian"
2021,"city_chi","k8_4th","math_basic","cps","all","9172","count","city_chi___2021___k8_4th___math_basic___cps___all"
2021,"city_chi","k8_4th","math_basic","cps","black_hispanic","8234","count","city_chi___2021___k8_4th___math_basic___cps___black_hispanic"
2021,"city_chi","k8_4th","math_basic","cps","white_asian","938","count","city_chi___2021___k8_4th___math_basic___cps___white_asian"
2021,"city_chi","k8_4th","math_basic","cps","black","3558","count","city_chi___2021___k8_4th___math_basic___cps___black"
2021,"city_chi","k8_4th","math_basic","cps","hispanic","4676","count","city_chi___2021___k8_4th___math_basic___cps___hispanic"
2021,"city_chi","k8_4th","math_basic","cps","white","700","count","city_chi___2021___k8_4th___math_basic___cps___white"
2021,"city_chi","k8_4th","math_basic","cps","asian","238","count","city_chi___2021___k8_4th___math_basic___cps___asian"
2021,"city_chi","k8_8th","math_belowBasic","cps","all","9514","count","city_chi___2021___k8_8th___math_belowBasic___cps___all"
2021,"city_chi","k8_8th","math_belowBasic","cps","black_hispanic","9032","count","city_chi___2021___k8_8th___math_belowBasic___cps___black_hispanic"
2021,"city_chi","k8_8th","math_belowBasic","cps","white_asian","482","count","city_chi___2021___k8_8th___math_belowBasic___cps___white_asian"
2021,"city_chi","k8_8th","math_belowBasic","cps","black","4407","count","city_chi___2021___k8_8th___math_belowBasic___cps___black"
2021,"city_chi","k8_8th","math_belowBasic","cps","hispanic","4625","count","city_chi___2021___k8_8th___math_belowBasic___cps___hispanic"
2021,"city_chi","k8_8th","math_belowBasic","cps","white","359","count","city_chi___2021___k8_8th___math_belowBasic___cps___white"
2021,"city_chi","k8_8th","math_belowBasic","cps","asian","123","count","city_chi___2021___k8_8th___math_belowBasic___cps___asian"
2021,"state_il","col","t3_confer","allSchools","all","9763","count","state_il___2021___col___t3_confer___allSchools___all"
2021,"state_il","col","t3_confer","allSchools","black_hispanic","2121","count","state_il___2021___col___t3_confer___allSchools___black_hispanic"
2021,"state_il","col","t3_confer","allSchools","white_asian","7642","count","state_il___2021___col___t3_confer___allSchools___white_asian"
2021,"state_il","col","t3_confer","allSchools","black","677","count","state_il___2021___col___t3_confer___allSchools___black"
2021,"state_il","col","t3_confer","allSchools","hispanic","1444","count","state_il___2021___col___t3_confer___allSchools___hispanic"
2021,"state_il","col","t3_confer","allSchools","white","5293","count","state_il___2021___col___t3_confer___allSchools___white"
2021,"state_il","col","t3_confer","allSchools","asian","2349","count","state_il___2021___col___t3_confer___allSchools___asian"
2021,"state_il","col","cs_enrol","allSchools","all","11759","count","state_il___2021___col___cs_enrol___allSchools___all"
